DamAccessionNumber,DamName,DamRiverName,DamLocation,DamState_Province,DamCountry,DamLatitude,DamLongitude,DamCoordinateSource,DamMapDatum,DamAccuracyOfLocation,DamYearBuiltRemovedStructure,DamYearRemovalFinished,DamRemovalMethod,DamMotivationForRemoval,DamFunction,DamOperation,DamHeight_m,DamReservoirVolume_m3,DamReservoirSurfaceArea_km2,DamAreaOfEntireWatershed_km2,DataSource_WatershedArea,DamStrahlerStreamOrder,DamNIDID,DamAssociatedUSGSStreamGaugingStation,DamNotes,DamRiverMeanDischarge_CMS,DamGaugingStationDataYears,DamWebsite1,DamWebsite2,DamWebsite3,DamYearBuiltOriginalStructure,DamMonthRemovalBegan,DamDayRemovalBegan,DamYearRemovalBegan,DamMonthRemovalFinished,DamDayRemovalFinished,DamNumberOfDaysToRemoveDam,DamWidth_m,DamLengthOfReservoir_m,DamUpstreamDrainageArea_km2,DataSource_UpstreamDrainageArea,DamRiverWidthUpstreamOfImpoundment_m,DamStoredReservoirSedimentVolume_m3,DamOwner,DamLengthOfStoredSedimentUpstreamOfDam_m,DamRiverAnnualSedimentDischarge
61,Nashville Dam,Thornapple River,"Nashville, Michigan",MI,USA,42.60722,-85.094849,google,WGS84,,1874,2009,,,hydroelectric,run-of-the-river,4,518062,0.22662,,,4,MI00012,NA,"Date dam removal began was reported as ""mid summer 2009"" finished in ""fall 2009""",,,http://www.fws.gov/fieldnotes/regmap.cfm?arskey=28528,,,,7,,2009,10,,,110,,585,USACE NID,,,Village of Nashville,,
62,Kuba Dam,Na?tra Stream,"Kopmanholmen, Sweden",,Sweden,63.185768,18.541835,google,WGS84,within river,1975,2007,,environmental,irrigation,Storage,3,,,1024.4,citation #74,,NA,NA,Dam built date reported as mid 1970's,11.8,,http://www.ecologyandsociety.org/vol14/iss2/art4/table1.html,,,,,,,,,,,950,,,,,,,
63,Hersey Dam,Hersey River,"Hersey, Michigan",MI,USA,43.85,-85.43333,USACE NID,NAD83,,1958,2007,staged removal,hazard,recreation,,3.4,98679,0.057,,,,MI00319,NA,"Date dam removal finished was reported as ""early 2007""",,,http://www.fws.gov/fieldnotes/regmap.cfm?arskey=20878,,,1930,10,,2006,1,,,55,,295,USACE NID,,,Village of Hersey,,
64,Shopiere,Turtle Creek,"Rock Co, Wisconsin",WI,USA,42.5736323,-88.9386641,USACE NID,NAD83,,1939,2000,staged removal,hazard,hydroelectric,run-of-the-river,3.7,123350,0.06,,,4,WI00297,5431486,"Date dam removal finished was reported as ""fall 2000""",3.76,1940-2013,,,,1848,12,,1999,10,,,42,,509,USGS,29,,Lyons Associates Inc,,
65,Giles White (Ontario Dam),Kickapoo River,"Ontario, Wisconsin",WI,USA,43.71833,-90.5874344,USACE NID,NAD83,,1865,1992,,,recreation,,4.3,149250,0.24,,,5,WI01168,5407470,,2.1,2002-2013,www.citizenreviewonline.org/dec_2003/dams.htm,,,,,,,,,,,,303,USGS,,,Mr. and Mrs. Duane Obert,,
66,Nelsonville,Tomorrow River,"Nelsonville, Wisconsin",WI,USA,44.495,-89.311667,USACE NID,NAD83,,1901,1987,,,hydroelectric,,4.3,222030,0.13,,,3,WI00288,NA,,,,www.citizenreviewonline.org/dec_2003/dams.htm,,,1855,,,,,,,105,,179,USACE NID,,,WI DNR,,
67,Simkins Dam,Patapsco River,"Ellicott City, Maryland",MD,USA,39.2523,-76.7689,USACE NID,NAD83,,1900,2010,,,water supply,run-of-the-river,6,4391200,0.12,,,,MD00134,1589025,"Date dam removal finished was reported as ""fall 2010""",6.47,2011-2013,http://www.interfluve.com/projects/simkins-dam-removal/,,http://www.americanrivers.org/blog/simkins-dam-removal-update/,,,,,10,,,89,,780,USGS,,,Simkins Industries,,
68,Carbonton Dam,Deep River,"Sanford, North Carolina",NC,USA,35.52,-79.3485,publication,unknown,,1921,2006,staged removal,environmental,hydroelectric,run-of-the-river,5,122110,0.46944,3637,citation #68,4,NC83006,"02102000, 02101726",,38,,,,,,10,15,2005,2,3,111,64,1500,2600,"2600km2 in citation #80, 3714km2 & 178km2 at USGS (neither station is close to dam-even though they used the data in the pub, I don't think its all that accurate)",,,Cox-Lake Carbonton Associates,,
69,Dead Lake Dam,Chipola River,"Wewahitchka, Florida",FL,USA,30.1200008392,-85.169998169,USACE NID,NAD83,,1960,1989,staged removal,,recreation,,6.7,50079000,27,3124,"citation #82 ""The Chipola River is 134.9 km long, lies entirely in Florida, and drains approximately 3,124 km2 of forested and agricultural floodplain"". (watershed area or upstream drainage area?)",,FL00103,NA,,,,,,,,12,,1987,2,,,240,14500,,,,,Dead Lakes Water Management,,
70,North Avenue Dam (Milwaukee),Milwaukee River,"Milwaukee, Wisconsin",WI,USA,43.057855,-87.89453,google,WGS84,,1835,1997,,,flood control,,5.2,518060,0.33,,,,WI00078,4087000,,12.77,1915-2013,,,,,,,,,,,107,3700,1787,1803km2 at USGS,,22000,City of Milwaukee,,
71,Embrey Dam,Rappahannock River,"Fredericksburg, Virginia",VA,USA,38.322366,-77.490516,google,WGS84,within river,1910,2005,de-water & dig,environmental,hydroelectric,run-of-the-river,6.7,,,,,,NA,1668000,Stored sediment volume is volume removed pre-breach. Total stored reservoir sediment volume not reported.,47.53,1908-2013,http://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1294&context=fishpassage_conference,,,,2,23,2004,3,,,235,,4131,USGS,,191140,City of Fredericksburg,,
72,Hellberg's Dam,Conestoga River,"Leola, Pennsylvania",PA,USA,40.12764,-76.19967,publication,unknown,,,1999,instantaneous,,,run-of-the-river,,,0.054,562,citation #88,,NA,NA,,,,http://www.darrp.noaa.gov/northeast/athos/pdf/PFBC2007.pdf,,,,12,,1999,,,,,2100,,,25,,,,
73,Hinkletown Dam,Conestoga River,"Lancaster County, PA",PA,USA,40.15336,-76.12457,publication,unknown,,,2000,,environmental,,,,,0.012,562,citation #88,,NA,NA,,,,http://perceval.bio.nau.edu/mpcer_old/riverreborn/us_dams_descriptive/pa_hinkletown_dam.html,,,,,,,3,,,,600,,,16,,,,
74,Franklin Mills Dam,Middle Creek,"Middleburg, Pennsylvania",PA,USA,40.79113,-77.04213,publication,unknown,,,2000,,,,,,,0.044,,,,NA,NA,,,,,,,,,,,4,,,,1500,,,25,,,,
75,Gongneung Weir2,Gongneung River,"Kyeonggi Province, Korea",,Korea,37.678484,126.903308,google,WGS84,within river,1975,2006,,,irrigation,run-of-the-river,1.5,,,253.1,citation #89,,NA,,Dam built date reported as 1970's,5.6,,,,,,,,,4,14,,75,,,,,,,,
76,Woolen Mills Dam,Milwaukee River,"West Bend, Wisconsin",WI,USA,43.4256632,-88.162065,USACE NID,NAD83,,1919,1988,,hazard,recreation,run-of-the-river,4.3,777090,0.27,2155,citation #93,4,WI00220,NA,,,,,,,1870,,,1979,6,,,107,2300,575,USACE NID,,,City of West Bend,,
77,Sandstone Dam (Kettle River),Kettle River,"Sandstone, Minnesota",MN,USA,46.10667,-92.861667,USACE NID,NAD83,,1908,1995,instantaneous,environmental,hydroelectric,run-of-the-river,6.1,370040,,,,,MN00513,5336700,"Date dam removal finished was reported as ""winter 1995""",19.76,1968-2013,,,,,,,,12,,,98,,2248,"2248km2 at USGS, 1397km2 in citation #94",,,Minnesota Dept of Natural Resources,,
78,Appleton Dam,Pomme de Terre River,"Appleton, Minnesota",MN,USA,45.205913,-96.016837,google,WGS84,location confirmed,1872,1999,accidental,hazard,hydroelectric,,5.2,555070,0.231,,,,MN00166,5294000,,3.6,,,,,,,,1998,3,,,48,,2344,"2344km2 at USGS, 1457km2 in citation #94",,,Village of Appleton,,
79,Brownsville Dam,Calapooia River,"Brownsville, Oregon",OR,USA,44.387797,-122.933121,google,WGS84,within river,1965,2007,staged removal,multiple,irrigation,run-of-the-river,2.5,,,947,citation #199 & 210,,NA,NA,"Original dam built in ""1880's"" and dam that was removed was built in ""1960's"". Motivation for removal: environmental & hazard",,,,,,1885,,,,8,,,34,,,,,14000,,,
80,Gokreung Dam,Gokneung Stream,"Bukhansan National Park, Korea",,Korea,37.675987,126.906361,publication,unknown,,1975,2006,partial,,irrigation,,1.5,,,,,,NA,,"Dam built in ""1970's""",,,,,,,,,,4,,,80,,,,,,,,
81,Dexter Dam,Mill Creek,"Dexter, Michigan",MI,USA,42.340425,-83.889672,publication,unknown,,1932,2008,instantaneous,hazard,hydroelectric,run-of-the-river,2.4,431720,0.09,376,376km2 in pub #104 (they could mean drainage- from text 'Mill Creek rund 226 miles in its 145 square mile watershed'),,MI00324,4173500,,2.43,1953-2013,http://www.hrwc.org/wp-content/uploads/2009/09/HuronRiverReport_2008_fall.pdf,,,1824,7,,2008,7,,,21,,332,332 km2 at USGS,,3593,Washtenaw County Road Commission,396,
82,Brewster Creek Dam,Brewster Creek,"Elgin, Illinois",IL,USA,41.971892,-88.279755,google,WGS84,within river,1929,2004,staged removal,hazard,,,2.4,,0.016,,,,NA,5551030,,0.18,2003-2006,http://dewprojects.countyofkane.org/brewsterCreek/description.asp,,,,6,,2003,2,,,9,,36,USGS & citation #170,,17849,YWCA,,.3 tons per acre
83,No dam (fish farm weir removed),Scorff River,"Southern Brittany, France",,France,47.821456,-3.276733,google,WGS84,location confirmed,,2000,,environmental,,,3,,,480,citation #109,,NA,NA,,5.16,,,,,,,,,,,,,,,,,,,,
84,Southern Sweden 01,,Southern Sweden,,Sweden,56.52559,13.94171,google,WGS84,within region/country,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
85,Central Sweden 01,,Central Sweden,,Sweden,63.481941,15.655577,google,WGS84,within region/country,,,,,hydroelectric,,,,,,,,NA,,Function hydroelectric then recreation,,,,,,,,,,,,,,,,,,,,,
86,Fulton,Yahara River,"Edgerton, Wisconsin",WI,USA,42.810234,-89.130171,USACE NID,NAD83,location confirmed,1841,1993,,hazard,hydroelectric,,4.3,431720,0.2,,,3,WI00183,NA,Function hydroelectric then recreation,,,,,,,,,,,,,244,1094,1372,"1372km2 in citation #111, 1432km2 in USACE NID",,,Rock County,,
87,Hebron,Bark River,"Fort Atkinson, Wisconsin",WI,USA,42.927598,-88.685386,USACE NID,NAD83,location confirmed,1857,1994,,hazard,hydroelectric,,3,197360,0.11,,,3,WI00143,NA,Function hydroelectric then recreation,,,,,,1836,,,,,,,52,644,422,"422km2 in citation #111, 425km2 in USACE NID",,,Hebron Rod & Gun Club,,
88,Upper Waterloo Dam,Maunesha River,"Waterloo, Wisconsin",WI,USA,43.181272,-89.005051,google,WGS84,location confirmed,1915,1995,,hazard,hydroelectric,,3.4,1060800,0.33,,,3,WI00140,NA,Function hydroelectric then recreation,,,https://www.google.com/maps/ms?ie=UTF8&oe=UTF8&msa=0&msid=117896595811235662699.00044b16f781b823bfd87&dg=feature,,,1847,,,,11,,,35,2237,234,"234km2 in citation #111, 225km2 in USACE NID",,,Waterloo Malting Co,,
89,Cross Plains,Black Earth Creek,"Cross Plains, Wisconsin",WI,USA,43.113578,-89.658051,google,WGS84,,1856,1960,,environmental,hydroelectric,,2.7,,0.03,,,3,NA,5406457,Function hydroelectric then recreation,0.37,2010-2013,"https://www.google.com/maps/ms?msa=0&msid=117896595811235662699.00044b16f781b823bfd87&ie=UTF8&ll=44.621754,-90.197754&spn=2.736492,5.273438&z=6&source=embed&dg=feature",,,,,,1958,,,,,805,58,"30km2 at USGS, 58km2 in citation #111",,,,,
90,Mt. Vernon,Mt. Vernon Creek,"Mt Horeb, Wisconsin",WI,USA,42.946013,-89.657479,google,WGS84,location confirmed,1852,1950,,hazard,hydroelectric,,2.7,,0.05,,,2,NA,NA,Function hydroelectric then recreation,,,,,,,,,,,,,,644,26,citation #111,,,,,95.8/mi2 of watershed
91,South Batavia Dam,Fox River,"Batavia, Illinois",IL,USA,41.848464,-88.307146,google,WGS84,within river,,2003,accidental,,,,1.7,,,,,,NA,5551540,,45.01,2003-2013,,,,,,,2002,,,,105,,4486,"4486km2 at USGS, 6888km2 in citation #118",,,,,
92,Eaton-Dikeman Dam,Mountain Creek,"Cumberland County, Pennsylvania",PA,USA,40.1015,-77.1834,publication,unknown,,1855,1985,partial,,hydroelectric,,4,173000,,,,4,NA,,,0.56,,,,,,,,,,,,213,1200,114,citation #125,,250000,,,
93,Valley Creek 1,Valley Creek,"Valley Forge National Historical Park, Pennsylvania",PA,USA,40.084911,-75.453826,google,WGS84,within watershed,1789,1920,,,,,5.2,,,,,,NA,,,,,,,,,,,,,,,,3048,,,,185480,,,
94,Big Spring Run 1,Big Spring Run,,PA,USA,40.406819,-79.008073,google,WGS84,within watershed,1900,1916,,,irrigation,,,,,,,,NA,,"Date of removal reported as"" before 1916"". Date built reported as ""1890-1900""",,,,,,,,,,,,,,,,,,31856,,,
95,Denlinger's Mill Dam,Little Conestoga Creek,"Millersville, Pennsylvania",PA,USA,39.988833,-76.381739,google,WGS84,within watershed,1736,1930,,,,,6,,,,,,NA,,Date of removal reported as1930±10. Reported as 1930,,,http://www.lancasterwatersheds.org/LCCD%20legacy%20sediment.pdf,,,,,,,,,,,,,,,289960,,,
96,Shultz Grist Mill Dam,Big Beaver Creek,"Lancaster County, Pennsylvania",PA,USA,39.917782,-76.179899,google,WGS84,within watershed,,1972,accidental,,,,1,,,,,,NA,,,,,,,,,,,,,,,,,,,,35396,,,
97,Penns Creek 1,Penns Creek,,PA,USA,40.870899,-77.056493,google,WGS84,within watershed,,1968,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,458730,,,
98,White Clay Creek 1,White Clay Creek,"Chester County, Pennsylvania",PA,USA,39.743922,-75.789335,google,WGS84,within watershed,,1938,,,,,,,,,,,NA,,Date of removal reported as before 1938. Reported as 1938,,,,,,,,,,,,,,,,,,50546,,,
99,Conoy Creek Dam,Conoy Creek,"Elizabethtown, Pennsylvania",PA,USA,40.1327,-76.6212,publication,unknown,,1930,1972,accidental,dam failure,hydroelectric,run-of-the-river,1.2,,,,,3,NA,,"Date of removal reported as1972±10. Original structure built in ""1800's""",,,,,,1850,,,,,,,,1000,20,citation #126,,29240,,500,
100,Hammer Creek Dam,Hammer Creek,"Lititz, Pennsylvania",PA,USA,40.2421,-76.3359,publication,unknown,,1902,2001,partial,,irrigation,,2.4,,,,,3,NA,,"Date built ""1901-1902""",,,,,,,,,,9,,,,,47,citation #126,,22300,,,
101,Wellington Dam,Bushrangers Creek,"Wellington in central western New South Wales, Australia",,Australia,-25.227076,149.091783,google,WGS84,within watershed,1898,2002,de-water & dig,hazard,irrigation,,15,120000,,,,,NA,,,,,,,,,,,1998,,,,110,,25,citation #132,10,,,,
102,"Boulder Creek ""upper dam""",Boulder Creek,"Boudler Creek, Wisconsin",WI,USA,43.458333,-89.633333,publication,unknown,,,2003,instantaneous,,,run-of-the-river,1,,8.5E-05,40.6,citation #139,2,NA,NA,,,,,,,,7,9,2003,7,9,0,,,,,,,,,
103,"Boulder Creek ""lower dam""",Boulder Creek,"Boudler Creek, Wisconsin",WI,USA,43.458333,-89.633333,publication,unknown,,1955,2003,instantaneous,,,run-of-the-river,2.5,,0.00019,40.6,citation #139,2,NA,NA,"Date built reported as ""1950's""",,,,,,,7,9,2003,7,9,0,15,38,,,,,,,
104,Munroe Falls Dam,Cuyahoga River,"Munroe Falls, Ohio",OH,USA,41.141389,-81.436667,publication,unknown,,1902,2005,,environmental,water supply,,7.9,196120,0.0518,840,"citation #143, #166",,OH02467,4206000,,12.94,1922-2013,,,,1818,8,,2005,10,,,61,5900,349,1046km2 at USGS,,,City of Munroe Falls,,
105,White Rapids Brook,White Rapids Brook,"New Brunswick, Canada",New Brunswick,Canada,47.064251,-65.3983556,google,WGS84,within region/country,1955,2006,de-water & dig,environmental,irrigation,run-of-the-river,4.1,,0.005,,,,NA,NA,"Date built reported as ""1950's""",,,,,,,8,18,2006,9,6,19,36,,20,citation #148,,300,Correctional Service Canada,,
106,Zemko Dam,Eightmile River (Harris Brook),"Salem, Connecticut",CT,USA,41.492777,-72.282777,google,WGS84,within river,1968,2007,staged removal,environmental,recreation,,1.5,101150,0.03,,,,CT00374,NA,"Date removal began reported as ""Summer 2006"". Original dam built reported as ""1720's"". Publication states river mean discharge is ""0.16-0.33 cms""",0.245,,http://www.gomezandsullivan.com/index.php?page=zemko,,,1725,7,,2006,10,,,24,,2,USACE NID,,,William Moore,,
107,Cherry Hospital Dam,Little River,"Goldsboro, North Carolina",NC,USA,35.391609,-78.025983,google,WGS84,within river,1945,1998,,environmental,irrigation,run-of-the-river,2.1,,,,,4,NA,,"Dam built date reported as ""late 1940's""",,,http://www.enr.state.nc.us/newsrels/damdown.htm,,,,,,,5,,,41,,,,,,,,
108,Rains Mill Dam,Little River,North Carolina,NC,USA,35.48225,-78.143676,google,WGS84,location confirmed,1928,1999,instantaneous,environmental,hydroelectric,run-of-the-river,3.7,,0.11,,,4,NA,,,,,,,,,12,1,1999,12,4,3,76,,,,,,,,
109,Lowell Mill Dam,Little River,North Carolina,NC,USA,35.569674,-78.162585,google,WGS84,within river,1902,2005,staged removal,environmental,hydroelectric,run-of-the-river,4,,0.175,,,4,NA,2088500,,6.9,1931-2013,,,,,8,,2004,12,,,76,11265,601,"601km2 at USGS, 600km2 in citation #161, 556km2 in citation #174",,,,,
110,Unnefors Dam,Nissan Stream,Southern Sweden,,Sweden,57.621944,13.77,publication,unknown,,1924,2007,,environmental,hydroelectric,,2.3,,,,,,NA,,"Lat long is headwaters location. Date removal is reported as ""fall 2007""",41,,,,,1765,,,,10,,,,4500,2886,citation #158,,,,,
111,Dream Lake Dam,,"Lassen Volcanic Park, California",CA,USA,40.497472,-121.420837,google,WGS84,within watershed,1931,2011,instantaneous,,,,,,0.01214,,,,NA,,"Date built reported as ""about 1931""",,,,,,,8,,2011,10,,,,,,,,,,,
112,Frazee Dam,Otter Tail River,"Frazee, Minnesota",MN,USA,46.725548,-95.697291,google,WGS84,location confirmed,1923,1999,instantaneous,,hydroelectric,,5.8,,0.037,,,,NA,NA,,,,,,,,2,22,1999,3,4,10,18,,616,citation #167,,,Otter Tail Power Company,,
113,Anaconda,Naugatuck River,"Waterbury, Connecticut",CT,USA,41.498076,-73.052974,google,WGS84,within watershed,1750,1999,accidental,economic,hydroelectric,,3.4,,,800,citation #204,,NA,NA,"Date built reported as ""1700-1800's""",12.6,,,,,,2,,1999,,,,101,,,,,11900,,,
114,Dinner Creek Dam,Dinner Creek,"Cottage Creek, Oregon",OR,USA,43.7155,-122.7153,publication,NAD83,,1925,2003,,,water supply,,3.2,,,,,,NA,,,,,http://www.fs.fed.us/plan/par/2003/success/stories/dinner_creek.shtml,,,,,,,8,5,,,,21,citation #181,8,3000,,,
115,Lost Man,Lost Man Creek,"Redwood National Park, California",CA,USA,41.330592,-124.023144,google,WGS84,within river,1936,1989,de-water & dig,hazard,,,2.1,,,,,,NA,NA,,,,http://digital.library.ucr.edu/cdri/documents/SummaryReport_LostManCreekDamRemoval.pdf,,,,,,,8,,,17,,32,citation #170,,3852,,244,
116,Maple Gulch Dam,Maple Gulch,"Medford, Oregon",OR,USA,42.5787,-123.0377,publication,NAD83,,1950,2002,instantaneous,,water supply,,3.4,,,,,,NA,,"Date built reported as ""1900's""",,,,,,,,,,8,30,,,,4,citation #181,2,600,,,
117,Pattengail Dam,Pattengail Creek,"Butte, Montana",MT,USA,45.675428,-113.076325,google,WGS84,location confirmed,1903,1927,accidental,dam failure,,,12,14800000,,186,citation #171,,NA,NA,"Publication states river mean discharge is ""32.8-45.9 cms""",39.35,,,,,,,,,,,,,3200,,,,,,,
118,Mystic Lake Dam,Bozeman Creek,"Fishtail, Montana",MT,USA,45.540715,-110.921088,google,WGS84,location confirmed,1901,1985,,hazard,,,13,,,,,,NA,NA,"Publication states river mean discharge is ""3-4.3 cms""",3.65,,,,,,,,,4,,,,,31,publication #171,,,,,
119,Dillsboro Dam,Tuckasegee River,"Jackson County, North Carolina",NC,USA,35.36667,-83.25,USACE NID,NAD83,,1913,2010,de-water & dig,environmental,hydroelectric,,3.7,239300,,,,,NC00339,3510577,No new study- review of other papers. Stored sediment volume reported is volume of sediment removed from reservoir before dam breach,21.77,2005-2013,,,,,2,,2010,3,,,94,,932,USGS,,44344,Nantahala Power & Light,,
120,Steele's Mill Dam,Hitchcock Creek,"Cordova, North Carolina",NC,USA,34.9195,-79.8288,USACE NID,NAD83,,,2009,,environmental,irrigation,,6.7,88811,,,,,NC00654,NA,No new study- review of other papers,,,,,,,,,,7,,,35,,,,,,,,
121,Garthridge Dam,Muddy Creek,southeastern Pennsylvania,PA,USA,39.772972,-76.316068,google,WGS84,within river,,1933,,,,,12.2,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
122,Highrock Dam,Muddy Creek,southeastern Pennsylvania,PA,USA,39.772972,-76.316068,google,WGS84,within river,,1972,,,,,1.8,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
123,Castle Finn Dam,Muddy Creek,southeastern Pennsylvania,PA,USA,39.772972,-76.316068,google,WGS84,within river,,1997,,,,,3.1,,,,,,NA,1577500,,4.45,,,,,,,,,,,,,,344,USGS,,,,,
124,Gunpowder Paper Mill Dam (Hoffman Paper Mill Dam),Gunpowder Falls River,"Parkton, Maryland",MD,USA,39.613772,-76.684852,google,WGS84,within river,1889,1932,accidental,dam failure,,,6,,0.0379,,,,NA,1581920,,3.07,2001-2013,,,,1781,,,1932,,,,,,211,"211km2 at USGS, 70.4km2 in citation #177",,140170,,,
126,Kentchurch Dam,Monnow,"Kentchurch, Whales",,Wales,51.92675,-2.865927,google,WGS84,location confirmed,1850,2011,staged removal,environmental,,,3,,,354,citation #185,,NA,NA,"Date built reported as ""1800's""",5.9,,,,,,,,,8,,,35,,,,,1460,,73,
128,Sodom Dam,Calapooia River,"Lebanon, Oregon",OR,USA,44.409852,-123.044641,google,WGS84,within river,1955,2011,,,,,3.4,,,,,,NA,NA,"Dam removed date built reported as ""1950's""",,,,,,1890,,,,7,,,26,,947,citation #193,,4600,,,
129,Shearer Dam,Calapooia River,"Shedd, Oregon",OR,USA,44.450533,-123.079883,google,WGS84,within river,1956,2011,,,,,2.2,,,,,,NA,NA,,,,,,,,,,,8,,,12,,947,citation #193,,,,,
130,Barlin Dam,Dahan River,Northern Central Taiwan,,Taiwan,24.685549,121.381072,google,WGS84,location confirmed,1977,2007,partial,dam failure,flood control,,38,10500000,,,,,NA,NA,,,,,,,,,,,,,,,,1163,citation #194,,10500000,,4000,
132,Union City,Naugatuck River,"Naugatuck, Connecticut",CT,USA,41.495,-73.05,USACE NID,NAD83,,1860,1999,instantaneous,economic,recreation,,4.9,148020,0.074,800,citation #204,,CT00131,NA,,12.6,,,,,,,,,10,,,61,,601,USACE NID,,,Unknown,,
133,Lewiston Dam,Clearwater River,"Lewiston, Idaho",ID,USA,46.433571,-116.959315,google,WGS84,within watershed,1928,1973,instantaneous,economic,,,10.7,,,,,,NA,13342500,,420.84,1972-2013,http://www.idahorivers.org/protectrivers/dams.aspx?page=dam_removal,,,,,,,2,,,335,,24043,USGS,,,Avista (Washington Water Power),,
134,Big Spring Dam,Big Spring Creek,"Briggsville, WI",WI,USA,43.6704,-89.64219,publication,unknown,,1900,2008,staged removal,environmental,irrigation,,3.4,14800,0.028,16,citation #223,2,WI10004,,,0.39,,,,,,7,,2008,9,,,18,,36,NID 1993,,,J.P. Tucker,,
135,Gold Ray Dam,Rogue River,"Central Point, OR",OR,USA,42.437948,-122.978972,publication,unknown,,1940,2010,,hazard,hydroelectric,,11.6,123350,0.02,,,,OR00595,14359000,,82.95,1906-2014,,,,1904,,,,8,,,110,2900,5317,USGS & NID 1993,,,Jackson County,,
136,Arase Dam,Kuma River,"Kyushu, Japan",,Japan,32.430396,130.649784,google,WGS84,location confirmed,1955,,,,hydroelectric,,25,10140000,1.23,1880,,,,,,,,http://www.mekongwatch.org/platform/bp/english4-2.pdf,,,,4,,2010,,,,211,,,,,,,,
137,Afton Dam,Bass Creek,"Afton, Wisconsin",WI,USA,42.6012,-89.067,USACE NID,NAD83,,1952,1996,,,recreation,,2.7,246700,12,,,,WI00295,,,,,,,,,DamMonthRemovalBegan,,,,,,76,,168,USACE NID,,,Private,,
138,Black Earth Dam,Black Earth Creek,"Mazomanie, Wisconsin",WI,USA,43.1643,-89.7795,USACE NID,NAD83,,1851,1961,,,recreation,,4.6,123350,0.08,,,,WI01034,,,,,,,,,,,1955,,,,366,,91,USACE NID,,,Village of Mazomanie,,
139,Bowen Mills Dam,Pine River,"Richland Center, Wisconsin",WI,USA,43.374026,-90.3829,google,WGS84,location confirmed,1851,1996,,environmental,hydroelectric,,,,,,,,NA,,,,,http://www.wisconsinrivers.org/,,,,,,1987,,,,,,,,,,,,
140,Ettrick Dam,North Fork Beaver Creek,"Ettrick, Wisconsin",WI,USA,44.170625,-91.270426,google,WGS84,location confirmed,,1976,,,,,,,,,,,NA,,,,,http://www.wisconsinrivers.org/,,,,,,,,,,,,,,,,,,
141,Huntington Dam,Apple River,"New Richmond, Wisconsin",WI,USA,45.191555,-92.55579,google,WGS84,location confirmed,1916,1965,,,hydroelectric,,,,,,,,NA,,,,,http://www.wisconsinrivers.org/,,,1903,,,,,,,,,,,,,Northern States Power Company,,
142,Island Woolen Mill,Baraboo River,"Baraboo, Wisconsin",WI,USA,43.471609,-89.759182,google,WGS84,location confirmed,,1997,,,,,,,,,,,NA,,,,,http://www.wisconsinrivers.org/,,,,,,,,,,,,,,,,,,
143,Lemonweir Dam,Lemonweir River,"Lemonweir, Wisconsin",WI,USA,43.7874,-90.0179,USACE NID,NAD83,,1926,1993,,hazard,recreation,,4.3,98679,0.045,,,,WI00265,,,,,http://www.wisconsinrivers.org/,,,1914,,,,,,,213,,1539,USACE NID,,,Town of Lemonweir,,
144,Lowe Creek 1,Lowe Creek,"Hixton, Wisconsin",WI,USA,44.360977,-91.026289,google,WGS84,location confirmed,,1994,,,,,,,,,,,NA,,,,,http://www.wisconsinrivers.org/,,,,,,,,,,,,,,,,,,
145,McClure Dam,Apple River,"Star Prairie, Wisconsin",WI,USA,45.178284,-92.564464,google,WGS84,location confirmed,1913,1968,,,,,,,,,,,NA,,,,,http://www.wisconsinrivers.org/,,,,,,,,,,,,,,,,,,
146,Mound Pond Dam,Willow,"Hudson, Wisconsin",WI,USA,45.0277,-92.6486,USACE NID,NAD83,,1925,1997,,hazard,recreation,,17.7,949780,0.23,,,,WI00028,,,,,http://www.wisconsinrivers.org/,,,1871,,,,,,,131,,435,USACE NID,,,WI DNR,,
148,Parfrey Glen Dam,Pine River,"Richland Center, Wisconsin",WI,USA,43.3355,-90.3913,USACE NID,NAD83,,1934,1996,,,recreation,,5.8,357710,0.1578,,,,WI00182,,,,,http://www.wisconsinrivers.org/,,,1856,,,,,,,137,,490,USACE NID,,,City of Richland Center,,
149,Readstown Dam (Fowell Dam),Kickapoo River,"Readstown, Wisconsin",WI,USA,43.444883,-90.764305,google,WGS84,location confirmed,,1985,,,,,,,,,,,NA,,,,,http://www.wisconsinrivers.org/,,,,,,,,,,,,,,,,,,
150,Slabtown Dam,Bark River,"Slabtown, Wisconsin",WI,USA,42.9674,-88.6375,USACE NID,WGS84,,1948,1992,,,recreation,,3,123350,0.1295,,,,WI00630,,,,,http://www.wisconsinrivers.org/,,,,,,,,,,18,,298,USACE NID,,,,,
151,Somerset Dam,Apple River,"Somerset, Wisconsin",WI,USA,45.125646,-92.67361,google,WGS83,location confirmed,1963,1965,accidental,,,,,,,,,,NA,,,,,http://www.wisconsinrivers.org/,,,1898,,,,,,,,,,,,,,,
152,Token Creek Dam,Token Creek,"Token Creek, Wisconsin",WI,USA,43.1979,-89.2929,USACE NID,NAD83,,1915,1996,,,recreation,,4,148020,0.093,,,,WI00251,,,,,http://www.wisconsinrivers.org/,,,1860,,,,,,,91,,27,USACE NID,,,Wilbur Renk,,
